Codi_centre;Denominació_completa;Nom_naturalesa;Nom_municipi
08075037;El Timbal, Centre de formació i creació escènica;Privat;Barcelona
08075050;Centre de Formació d'Entrenadors de la F.C.F.;Privat;Sabadell
08075062;Llar d'infants Les Oliveres;Públic;Santa Coloma de Gramenet
08075074;Institut de Santa Coloma de Gramenet;Públic;Santa Coloma de Gramenet
08075104;Escola Bressol Municipal Trencadís;Públic;Barcelona
08075116;Escola Bressol Guinardó;Públic;Barcelona
08075128;Escola de Ballet d'Arenys;Privat;Arenys de Mar
08075131;Escola de Dansa Marta Bustamante;Privat;Mataró
08075141;Esc. de Música Urgell;Privat;Barcelona
08075153;Escola de Dansa Laia Baulenas;Privat;Vic
08075165;El Repartidor;Privat;L'Hospitalet de Llobregat
08075177;Escola Bressol Pam i Pipa;Privat;Sabadell
08075189;EB privada El Petit Cangur;Privat;Barberà del Vallès
08075190;Llar d'infants L'Escoleta de Badalona;Privat;Badalona
08075207;Escola Entença;Públic;Barcelona
08075219;Escola Bressol Petita Tribu;Privat;Montornès del Vallès
08075220;LLI privada Xaloc;Privat;Vilanova i la Geltrú
08075232;Barcelona Vitae Sant Andreu;Privat;Barcelona
08075244;Escola Les Bases;Públic;Manresa
08075256;Institut Escola Marta Mata;Públic;Torelló
08075268;Escola La Mirada;Públic;Sant Cugat del Vallès
08075271;Academia de Peluquería Lourdes González;Privat;Barcelona
08075281;Institut Bitàcola;Públic;Barberà del Vallès
08075293;Institut Escola Gavà Mar;Públic;Gavà
08075301;Vitae Campus;Privat;Cerdanyola del Vallès
08075311;Musicart 102 Escola de Música i Arts Escèniques;Privat;Barcelona
08075323;Castelldefels School of Social Sciences;Privat;Castelldefels
08075335;Acadef Fútbol;Privat;Sant Feliu de Llobregat
08075347;LLI privada Kitty;Privat;El Prat de Llobregat
08075359;Akua;Privat;Santa Coloma de Cervelló
08075360;Vitae Terrassa;Privat;Terrassa
08075372;Teknos U Granollers;Privat;Granollers
08075384;Institut Escola La Mina;Públic;Sant Adrià de Besòs
08075396;Formació de l'FCBQ;Privat;Manresa
08075402;ESEI International Business School Barcelona;Privat;Barcelona
08075414;LLI privada El Cau de la Rateta;Privat;Vilanova i la Geltrú
08075426;EB privada Somnis de Cotó;Privat;Sabadell
